fiscal_year,organization_group,department,total_vouchers_paid,total_vouchers_pending,total_encumbrance_balance,total_pending_retainage,record_count,unique_suppliers,negative_paid_records,large_paid_1m_records,missing_po_date_records
2021,General Administration & Finance,HRD Human Resources,1517110961.8200002,0.0,691.86,0.0,3088,818,0,74,1080
2021,General Administration & Finance,MYR Mayor,1433234477.76,0.0,0.0,0.0,4980,2608,0,226,840
2021,General Administration & Finance,DT  GSA - Technology,946880526.08,0.0,42516.68,0.0,5296,1248,0,174,1200
2021,Public Protection,JUV Juvenile Probation,923421745.04,0.0,201211.42,0.0,3522,1124,50,64,980
2021,Human Welfare & Neighborhood Development,HOM Homelessness Services,825274946.22,0.0,53897.42,0.0,2986,1194,100,194,160
2021,Culture & Recreation,SCI Academy of Sciences,808947670.08,0.0,0.0,0.0,250,14,0,106,100
2021,General Administration & Finance,RET Retirement System,699486502.5200001,0.0,2000000.0,0.0,1942,656,100,78,620
2021,Culture & Recreation,LIB Public Library,674364117.24,0.0,3701.7,0.0,3940,1278,1200,66,1080
2021,General Administration & Finance,TTX Treasurer-Tax Collector,619277134.1,0.0,0.0,0.0,3354,786,2,120,1180
2021,Public Protection,POL Police,571083389.16,0.0,11047.44,0.0,10514,3230,600,98,3300
2021,Culture & Recreation,FAM Fine Arts Museum,377492707.08,0.0,5079.0,0.0,546,186,0,64,160
2021,General Administration & Finance,REG Elections,304640510.12,0.0,0.0,0.0,1660,524,350,36,480
2021,Human Welfare & Neighborhood Development,CHF Children;Youth & Families,296621190.24,0.0,0.0,0.0,2700,1436,50,24,160
2021,General Administration & Finance,CAT City Attorney,285189962.58,0.0,0.0,0.0,2178,680,0,48,800
2021,Public Protection,FIR Fire Department,200790041.74,0.0,2690.6800000000003,0.0,3426,1506,150,32,620
2021,General Administration & Finance,CON Controller,198152978.74,0.0,299.7,200000.0,1982,692,0,30,560
2021,Culture & Recreation,ART Arts Commission,126161038.42,0.0,31649.08,0.0,7708,2674,0,8,2560
2021,Human Welfare & Neighborhood Development,WOM Status of Women,124840188.03999999,0.0,0.0,0.0,474,294,0,20,60
2021,Human Welfare & Neighborhood Development,ENV Environment,112074281.68,0.0,-17850.0,0.0,2160,578,0,16,720
2021,Public Protection,PDR Public Defender,91484635.48,0.0,0.0,0.0,3472,950,0,8,1340
2021,General Administration & Finance,ETH Ethics Commission,90990693.18,0.0,0.0,0.0,338,112,0,20,120
2021,General Administration & Finance,BOS Board of Supervisors,74038581.52,0.0,83000.0,0.0,792,290,0,16,240
2021,Public Protection,DAT District Attorney,68690350.54,0.0,22048.64,0.0,4452,1128,0,6,1600
2021,Public Protection,ADP Adult Probation,53067456.8,0.0,8710.0,0.0,1816,602,150,6,500
2021,Human Welfare & Neighborhood Development,HRC Human Rights Commission,51262782.46,0.0,0.0,0.0,768,168,0,12,260
2021,Human Welfare & Neighborhood Development,CFC Children & Families Commsn,47016573.1,0.0,0.0,0.0,292,226,0,4,0
2021,"Public Works, Transportation & Commerce",DBI Building Inspection,44423920.6,0.0,64945.78,0.0,634,354,0,4,100
2021,General Administration & Finance,ASR Assessor - Recorder,40734266.44,0.0,9300.0,0.0,1102,370,0,6,340
2021,General Administration & Finance,CPC City Planning,15785919.299999999,0.0,0.0,0.0,710,326,0,0,120
2021,Human Welfare & Neighborhood Development,CSS Child Support Services,13536320.56,0.0,0.0,0.0,672,190,0,2,220
2021,Public Protection,DPA Police Accountabilty,7587945.28,0.0,0.0,0.0,540,218,50,2,160
2021,Culture & Recreation,AAM Asian Art Museum,4378040.1,0.0,0.0,0.0,26,26,0,2,0
2021,"Public Works, Transportation & Commerce",BOA Board of Appeals,2444910.1,0.0,0.0,0.0,228,76,0,0,80
2021,Human Welfare & Neighborhood Development,RNT Rent Arbitration Board,1303842.4,0.0,0.0,0.0,378,150,50,0,120
2021,General Administration & Finance,CSC Civil Service Commission,601062.38,0.0,0.0,0.0,56,18,0,0,20
2021,Culture & Recreation,LLB Law Library,432640.6,0.0,0.0,0.0,104,32,0,0,40
2022,General Administration & Finance,HSS Health Service System,368876475522.89996,0.0,0.0,0.0,1954,427,0,736,720
2022,General City Responsibilities,GEN General City - Unallocated,190179312613.94,0.0,0.0,0.0,838,216,0,392,300
2022,"Public Works, Transportation & Commerce",PUC Public Utilities Commsn,150934931672.9,-3290904.3200000003,61823847.94,125610808.28,47424,9934,2450,2354,8760
2022,"Public Works, Transportation & Commerce",AIR Airport Commission,134411841589.68,0.0,18550895.68,15973400.0,10964,4041,1250,620,3020
2022,Human Welfare & Neighborhood Development,USD County Education Office,57715276041.28,0.0,0.0,0.0,250,42,0,202,100
2022,Community Health,DPH Public Health,56703363728.62,0.0,3011306.26,208480.0,224754,12021,8400,2436,13222
2022,General Administration & Finance,ADM GSA - City Administrator,20792744908.3,-1442003.2,120385.56,0.0,20896,5921,3150,366,4760
2022,Human Welfare & Neighborhood Development,CCD SF Communtiy College Dist,19608275206.08,0.0,0.0,0.0,100,14,0,100,40
2022,Public Protection,FIR Fire Department,13867001938.58,0.0,19876.06,0.0,3484,1554,152,88,620
2022,Public Protection,CRT Superior Court,9832580561.0,0.0,0.0,0.0,5622,1460,0,452,2240
2022,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,8200635936.16,15970.64,152568093.38,6757740.119999999,22050,5337,802,426,1976
2022,Human Welfare & Neighborhood Development,CII Commty Invest & Infrstrctr,7605543952.4,0.0,4290.0,0.0,2894,750,0,260,1080
2022,"Public Works, Transportation & Commerce",ECN Economic & Wrkfrce Dvlpmnt,7314032113.06,0.0,490.0,0.0,17052,5037,0,618,6320
2022,Human Welfare & Neighborhood Development,HSA Human Services Agency,4083422269.04,0.0,1234810.0000000002,0.0,11320,3932,2,482,2320
2022,General Administration & Finance,HRD Human Resources,3290764314.2799997,0.0,0.02,0.0,3882,1094,50,126,1300
2022,Culture & Recreation,WAR War Memorial,3207609404.78,0.0,0.0,0.0,1626,639,300,50,340
2022,"Public Works, Transportation & Commerce",DPW Public Works,3099311023.58,0.0,36505016.68,18481575.64,14628,4009,252,268,1642
2022,"Public Works, Transportation & Commerce",PRT Port,2730425683.04,0.0,90320.94,0.0,8224,2575,0,154,2300
2022,Culture & Recreation,REC Recreation & Park Commsn,2715173962.34,0.0,2327546.92,46354008.94,12486,3730,500,208,1820
2022,Public Protection,SHF Sheriff,2563330330.2599998,0.0,6995.040000000001,0.0,7472,2023,100,68,2220
2022,General Administration & Finance,MYR Mayor,2160763522.7,0.0,0.0,0.0,5048,2697,0,230,680
2022,Public Protection,DEM Emergency Management,2016670867.46,0.0,123607.34,0.0,2960,1058,50,122,800
2022,Human Welfare & Neighborhood Development,CHF Children;Youth & Families,1216178335.54,0.0,0.0,0.0,2830,1407,0,82,220
2022,Human Welfare & Neighborhood Development,HOM Homelessness Services,999256921.24,0.0,54417.92,0.0,3178,1343,100,194,180
2022,General Administration & Finance,RET Retirement System,963806275.5799999,0.0,0.0,0.0,2272,745,50,82,740
2022,Public Protection,JUV Juvenile Probation,885498571.98,0.0,202164.78,0.0,3604,1157,0,50,900
2022,Culture & Recreation,SCI Academy of Sciences,720077702.0799999,0.0,0.0,0.0,250,14,0,86,100
2022,Culture & Recreation,LIB Public Library,668110219.82,0.0,0.0,0.0,3856,1515,800,66,820
2022,General Administration & Finance,TTX Treasurer-Tax Collector,511512729.06,0.0,0.0,0.0,3152,689,50,86,1100
2022,Public Protection,POL Police,478823288.2,0.0,11791.82,0.0,10450,3319,450,84,3260
2022,General Administration & Finance,REG Elections,467497101.4,0.0,0.0,0.0,1090,505,100,58,240
2022,General Administration & Finance,DT  GSA - Technology,367461520.98,0.0,592022.34,0.0,3776,1071,250,106,620
2022,Culture & Recreation,FAM Fine Arts Museum,293555856.46,0.0,0.0,0.0,340,138,0,44,80
2022,General Administration & Finance,CAT City Attorney,208098276.32,0.0,400.0,0.0,1688,552,0,40,600
2022,"Public Works, Transportation & Commerce",DBI Building Inspection,198489453.84,0.0,64945.78,0.0,978,446,2,30,180
2022,Culture & Recreation,ART Arts Commission,151442824.72,0.0,0.0,0.0,10182,3203,50,6,3560
2022,General Administration & Finance,CON Controller,123743977.98,0.0,1487.7,0.0,1822,670,0,20,440
2022,Public Protection,PDR Public Defender,105653501.08,0.0,0.0,0.0,4116,1098,0,12,1580
2022,Human Welfare & Neighborhood Development,HRC Human Rights Commission,98499636.36,0.0,0.0,0.0,1180,295,0,14,360
2022,General Administration & Finance,BOS Board of Supervisors,94165749.96,0.0,0.0,0.0,984,363,0,20,300
2022,Public Protection,ADP Adult Probation,77920561.16,0.0,4729.0599999999995,0.0,1562,597,50,8,380
2022,Human Welfare & Neighborhood Development,ENV Environment,65465566.14,0.0,-17849.92,0.0,2178,677,0,8,660
2022,Human Welfare & Neighborhood Development,CFC Children & Families Commsn,60093348.44,0.0,0.0,0.0,332,232,0,8,20
2022,Public Protection,DAT District Attorney,52426347.86,0.0,9015.8,0.0,3786,1176,0,2,1280
2022,General Administration & Finance,ASR Assessor - Recorder,48713020.86,0.0,0.0,0.0,1138,434,0,6,320
2022,Human Welfare & Neighborhood Development,WOM Status of Women,28618104.96,0.0,0.0,0.0,640,306,50,2,140
2022,General Administration & Finance,CPC City Planning,25595032.439999998,0.0,0.0,0.0,1004,488,0,4,200
2022,Public Protection,DPA Police Accountabilty,16634721.94,0.0,0.0,0.0,958,288,0,2,340
2022,General Administration & Finance,ETH Ethics Commission,6347261.5200000005,0.0,0.0,0.0,462,154,0,0,140
2022,"Public Works, Transportation & Commerce",BOA Board of Appeals,4800926.7,0.0,0.0,0.0,268,71,0,0,100
2022,Human Welfare & Neighborhood Development,CSS Child Support Services,3766471.42,0.0,0.0,0.0,400,164,0,0,120
2022,Culture & Recreation,AAM Asian Art Museum,3239449.08,0.0,0.0,0.0,24,20,0,0,0
2022,Human Welfare & Neighborhood Development,RNT Rent Arbitration Board,3130179.2,0.0,0.0,0.0,348,121,50,0,120
2022,General Administration & Finance,CSC Civil Service Commission,861703.52,0.0,0.0,0.0,204,46,0,0,80
2022,Culture & Recreation,LLB Law Library,9476.740000000002,0.0,0.0,0.0,4,4,0,0,0
2023,General Administration & Finance,HSS Health Service System,378197413273.3,0.0,0.0,0.0,2228,490,0,870,820
2023,"Public Works, Transportation & Commerce",PUC Public Utilities Commsn,166399557566.98,0.0,77914509.44,76549299.84,49796,10686,2300,2290,8700
2023,"Public Works, Transportation & Commerce",AIR Airport Commission,158859263885.62,0.0,19993246.22,16982039.84,11574,4257,1250,644,3100
2023,General City Responsibilities,GEN General City - Unallocated,137854297968.6,0.0,0.0,0.0,934,216,0,390,300
2023,Community Health,DPH Public Health,51412769497.92,0.0,4302441.6,0.0,225912,12473,10302,2254,13204
2023,Human Welfare & Neighborhood Development,USD County Education Office,49252398374.079994,0.0,0.0,0.0,150,28,0,100,60
2023,General Administration & Finance,ADM GSA - City Administrator,25258610887.46,9500.0,164685.96,0.0,25566,7170,2600,432,6060
2023,Human Welfare & Neighborhood Development,CCD SF Communtiy College Dist,19489880006.079998,0.0,0.0,0.0,100,14,0,100,40
2023,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,12328931097.34,0.0,142494810.22,6183472.3,22420,5380,1000,534,1860
2023,Human Welfare & Neighborhood Development,DEC Dept of Early Childhood,10291859659.22,0.0,0.0,0.0,648,300,0,126,140
2023,Public Protection,CRT Superior Court,10171620393.44,0.0,0.0,0.0,5468,1428,0,502,2180
2023,Human Welfare & Neighborhood Development,HOM Homelessness Services,3776623771.7200003,0.0,54417.92,0.0,3226,1409,0,252,200
2023,Culture & Recreation,WAR War Memorial,3142474269.8,0.0,0.0,0.0,1518,593,300,50,300
2023,"Public Works, Transportation & Commerce",DPW Public Works,2915816569.9,0.0,29800379.62,40678651.379999995,15326,3870,1002,252,1800
2023,General Administration & Finance,HRD Human Resources,2904368945.7,0.0,73892.06,0.0,3788,1034,0,90,1260
2023,"Public Works, Transportation & Commerce",PRT Port,2839087164.42,0.0,252237.5,0.0,8422,2799,0,170,2320
2023,Public Protection,SHF Sheriff,2755514538.22,-118307.2,5801.6,0.0,10534,2458,200,106,3340
2023,Culture & Recreation,REC Recreation & Park Commsn,2465598037.52,0.0,2402587.5600000005,207984.69999999998,14128,4024,250,162,2220
2023,"Public Works, Transportation & Commerce",ECN Economic & Wrkfrce Dvlpmnt,2382848006.7,0.0,709510.0,0.0,6184,2168,0,278,1940
2023,Public Protection,FIR Fire Department,2262168418.96,0.0,2615715.34,0.0,3686,1511,202,80,780
2023,Public Protection,DEM Emergency Management,1963506823.06,0.0,295011.64,0.0,4128,1442,0,112,1100
2023,General Administration & Finance,MYR Mayor,1895487634.1,0.0,54089.09999999999,0.0,6674,2953,0,286,1360
2023,Human Welfare & Neighborhood Development,CII Commty Invest & Infrstrctr,1766216988.24,0.0,4290.0,0.0,2450,710,0,84,900
2023,Human Welfare & Neighborhood Development,HSA Human Services Agency,1710556659.98,0.0,2344511.56,0.0,11462,4003,52,204,2160
2023,Public Protection,JUV Juvenile Probation,918777359.2800001,0.0,208271.22,0.0,4368,1332,352,58,1140
2023,Culture & Recreation,SCI Academy of Sciences,877791552.0,0.0,0.0,0.0,200,14,0,112,80
2023,General Administration & Finance,RET Retirement System,804565819.1600001,0.0,0.0,0.0,2372,731,50,86,760
2023,Culture & Recreation,LIB Public Library,742226605.72,0.0,-16.72,0.0,4282,1824,550,68,920
2023,Public Protection,POL Police,645199338.26,0.0,225624.41999999998,0.0,8284,2759,350,118,2260
2023,General Administration & Finance,DT  GSA - Technology,391808091.68,0.0,317650.92,0.0,4738,1314,350,100,960
2023,Human Welfare & Neighborhood Development,CHF Children;Youth & Families,358108156.02,0.0,0.0,0.0,2676,1316,50,22,140
2023,General Administration & Finance,REG Elections,353663198.94,0.0,0.0,0.0,896,476,0,42,160
2023,Human Welfare & Neighborhood Development,HRC Human Rights Commission,331795065.08,0.0,0.0,0.0,2220,512,0,60,700
2023,General Administration & Finance,TTX Treasurer-Tax Collector,301637498.56,0.0,0.0,0.0,3546,780,50,50,1180
2023,General Administration & Finance,CAT City Attorney,264242422.1,0.0,400.0,0.0,1890,620,0,46,680
2023,Culture & Recreation,FAM Fine Arts Museum,233583118.02,0.0,0.0,0.0,554,175,0,46,140
2023,Culture & Recreation,ART Arts Commission,204382282.38,0.0,0.0,0.0,11430,3722,0,6,3980
2023,"Public Works, Transportation & Commerce",DBI Building Inspection,170981810.51999998,0.0,64945.78,0.0,812,438,50,24,140
2023,Public Protection,PDR Public Defender,110408883.32000001,0.0,0.0,0.0,3752,1042,0,18,1420
2023,Public Protection,DAT District Attorney,107434950.94,0.0,9336.28,0.0,4294,1236,0,16,1460
2023,General Administration & Finance,BOS Board of Supervisors,88928532.62,0.0,0.1,0.0,1070,398,50,18,320
2023,Public Protection,ADP Adult Probation,75508614.6,0.0,5045.66,0.0,1462,528,0,14,400
2023,Human Welfare & Neighborhood Development,ENV Environment,74012040.58,0.0,-17849.92,0.0,2274,713,0,6,720
2023,General Administration & Finance,CON Controller,56321050.12,0.0,299.7,133480.0,2240,768,100,4,580
2023,General Administration & Finance,ASR Assessor - Recorder,44684421.8,0.0,0.0,0.0,1094,439,0,6,320
2023,Human Welfare & Neighborhood Development,WOM Status of Women,38578705.08,0.0,0.0,0.0,918,400,0,4,220
2023,Human Welfare & Neighborhood Development,RNT Rent Arbitration Board,11480171.94,0.0,0.0,0.0,426,163,0,2,120
2023,Human Welfare & Neighborhood Development,CSS Child Support Services,9620381.72,0.0,0.0,0.0,678,223,0,0,220
2023,Human Welfare & Neighborhood Development,CFC Children & Families Commsn,9285549.78,0.0,0.0,0.0,116,104,0,0,0
2023,General Administration & Finance,ETH Ethics Commission,8453763.0,0.0,0.0,0.0,476,170,0,2,140
2023,Public Protection,DPA Police Accountabilty,8323850.5,0.0,11560.0,0.0,604,212,0,2,200
2023,General Administration & Finance,CPC City Planning,6546458.040000001,0.0,0.0,0.0,692,349,0,0,120
2023,Culture & Recreation,AAM Asian Art Museum,3716404.56,0.0,0.0,0.0,28,26,0,0,0
2023,"Public Works, Transportation & Commerce",BOA Board of Appeals,170322.4,0.0,0.0,0.0,86,48,0,0,20
2023,Public Protection,SDA Shrf Dept Ofc Inspctr Genl,98411.06,0.0,0.0,0.0,28,26,0,0,0
2023,General Administration & Finance,CSC Civil Service Commission,25415.64,0.0,0.0,0.0,22,22,0,0,0
2023,"Public Works, Transportation & Commerce",SAS Dept of Sanitation & Sts,2988.9,0.0,0.0,0.0,2,2,0,0,0
2024,General Administration & Finance,HSS Health Service System,405636153526.74,0.0,0.0,0.0,1938,456,50,860,680
2024,"Public Works, Transportation & Commerce",AIR Airport Commission,175942253893.52,0.0,23581431.64,88391670.5,13696,4766,950,732,3640
2024,"Public Works, Transportation & Commerce",PUC Public Utilities Commsn,163778218649.74,3780211.1999999997,92738736.4,151445336.84,54646,11470,2302,2332,9400
2024,General City Responsibilities,GEN General City - Unallocated,152753569933.12,0.0,0.0,0.0,914,210,0,438,360
2024,Community Health,DPH Public Health,49735528969.74,38960.9,5780497.38,0.0,225760,11494,10200,1856,12620
2024,Human Welfare & Neighborhood Development,USD County Education Office,49697886043.52,0.0,0.0,0.0,100,14,0,100,40
2024,General Administration & Finance,ADM GSA - City Administrator,25422409350.88,0.0,972372.3799999999,0.0,22792,6262,400,574,4820
2024,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,13902603737.32,0.0,239033163.07999998,4489731.76,22862,5468,1000,564,2320
2024,Human Welfare & Neighborhood Development,CCD SF Communtiy College Dist,13767680016.64,0.0,0.0,0.0,50,14,0,50,20
2024,Public Protection,CRT Superior Court,10180544185.8,0.0,0.0,0.0,5020,1320,0,506,2000
2024,Human Welfare & Neighborhood Development,HSA Human Services Agency,4443411782.98,0.0,2498462.38,0.0,11060,3816,252,278,2060
2024,"Public Works, Transportation & Commerce",DPW Public Works,3320645271.2799997,0.0,22959655.98,90090096.32000001,15038,4068,700,374,1760
2024,General Administration & Finance,MYR Mayor,3126210388.24,0.0,1254088.26,0.0,5552,2712,50,378,960
2024,Culture & Recreation,WAR War Memorial,2931172550.9199996,-31785.6,0.0,0.0,1066,498,50,50,180
2024,Culture & Recreation,REC Recreation & Park Commsn,2837201705.34,0.0,2396998.8600000003,3004250.1799999997,14766,4170,150,202,2020
2024,Public Protection,SHF Sheriff,2770930565.98,0.0,5801.620000000001,0.0,12104,2474,150,100,3960
2024,General Administration & Finance,HRD Human Resources,2737206588.4,0.0,73892.06,0.0,3502,928,50,106,1180
2024,"Public Works, Transportation & Commerce",PRT Port,2471025787.9,0.0,239061.93999999997,241924.0,9478,2950,0,164,2644
2024,"Public Works, Transportation & Commerce",ECN Economic & Wrkfrce Dvlpmnt,1994130199.86,0.0,1395036.26,0.0,6962,2540,0,218,2120
2024,Human Welfare & Neighborhood Development,CII Commty Invest & Infrstrctr,1975354909.54,0.0,4290.0,0.0,2926,718,50,122,1080
2024,Public Protection,DEM Emergency Management,1630530465.1599998,0.0,301011.63999999996,0.0,4066,1410,0,110,1062
2024,Human Welfare & Neighborhood Development,HOM Homelessness Services,1509992840.58,0.0,54417.92,0.0,3408,1552,50,264,160
2024,Public Protection,JUV Juvenile Probation,879962025.4,0.0,208497.28,0.0,3722,1168,200,52,760
2024,Culture & Recreation,LIB Public Library,771863852.7,0.0,-16.72,0.0,4032,1780,200,80,840
2024,General Administration & Finance,RET Retirement System,681323678.0,0.0,48021.04,0.0,2254,692,150,108,740
2024,Culture & Recreation,SCI Academy of Sciences,653918496.0,0.0,0.0,0.0,200,14,0,82,80
2024,Human Welfare & Neighborhood Development,HRC Human Rights Commission,607661987.26,0.0,0.0,0.0,1878,612,0,94,480
2024,Public Protection,POL Police,599593061.46,0.0,14486.779999999999,0.0,6832,2234,400,104,1540
2024,General Administration & Finance,DT  GSA - Technology,491291028.7,0.0,64561.520000000004,0.0,3782,1234,250,106,620
2024,Human Welfare & Neighborhood Development,DEC Dept of Early Childhood,475555539.82,0.0,19411378.42,0.0,810,426,50,38,100
2024,Human Welfare & Neighborhood Development,CHF Children;Youth & Families,393438030.71999997,0.0,0.0,0.0,3208,1534,0,28,300
2024,General Administration & Finance,REG Elections,323825156.70000005,0.0,0.0,0.0,1126,430,0,50,300
2024,Culture & Recreation,FAM Fine Arts Museum,277116998.38,0.0,0.0,0.0,484,154,0,50,140
2024,General Administration & Finance,CAT City Attorney,273332982.78,0.0,0.0,0.0,1900,622,0,44,680
2024,General Administration & Finance,TTX Treasurer-Tax Collector,258156021.68,0.0,0.0,0.0,2818,736,0,44,880
2024,Public Protection,FIR Fire Department,253983688.14,0.0,2620200.64,0.0,3492,1606,52,40,640
2024,Culture & Recreation,ART Arts Commission,239257205.52,0.0,0.0,0.0,13016,4026,50,10,4640
2024,"Public Works, Transportation & Commerce",DBI Building Inspection,173787433.0,0.0,64945.78,0.0,748,410,100,24,140
2024,Public Protection,PDR Public Defender,129513134.36,0.0,0.0,0.0,4314,996,0,16,1660
2024,Public Protection,DAT District Attorney,86422030.6,0.0,10468.0,0.0,4618,1292,0,8,1600
2024,General Administration & Finance,BOS Board of Supervisors,82766850.9,0.0,9680.18,0.0,1050,404,100,18,300
2024,Public Protection,ADP Adult Probation,73397359.88,0.0,5045.66,0.0,1620,630,0,18,440
2024,Human Welfare & Neighborhood Development,ENV Environment,72150901.48,0.0,185950.08,0.0,2176,796,0,10,640
2024,Human Welfare & Neighborhood Development,WOM Status of Women,37142419.22,0.0,0.0,0.0,812,354,0,4,200
2024,General Administration & Finance,ASR Assessor - Recorder,36905187.120000005,0.0,0.0,0.0,1286,492,0,4,360
2024,General Administration & Finance,CON Controller,35670676.74,0.0,204530.9,318298.0,2054,692,50,4,500
2024,General Administration & Finance,CSC Civil Service Commission,13460855.84,0.0,0.0,0.0,56,20,0,4,20
2024,Human Welfare & Neighborhood Development,RNT Rent Arbitration Board,13414656.86,0.0,0.0,0.0,512,194,50,2,160
2024,Public Protection,DPA Police Accountabilty,12007384.0,0.0,11560.0,0.0,484,184,0,2,160
2024,Human Welfare & Neighborhood Development,CSS Child Support Services,10740024.42,0.0,0.0,0.0,660,212,0,0,220
2024,General Administration & Finance,CPC City Planning,6950145.78,0.0,4730.0,0.0,708,372,0,0,80
2024,General Administration & Finance,ETH Ethics Commission,4097325.5199999996,0.0,0.0,0.0,456,146,0,0,140
2024,Culture & Recreation,AAM Asian Art Museum,3723739.24,0.0,0.0,0.0,34,28,0,0,0
2024,"Public Works, Transportation & Commerce",BOA Board of Appeals,2024027.6199999999,0.0,0.0,0.0,234,80,50,0,80
2024,Public Protection,SDA Shrf Dept Ofc Inspctr Genl,669104.9,0.0,0.0,0.0,140,66,0,0,40
2024,Culture & Recreation,LLB Law Library,27450.04,0.0,0.0,0.0,6,6,0,0,0
2025,General Administration & Finance,HSS Health Service System,426682398116.54,0.0,0.0,0.0,1780,430,0,896,620
2025,"Public Works, Transportation & Commerce",AIR Airport Commission,237437854682.72,666073.5399999999,23095647.36,944048484.8599999,15120,5122,100,912,3740
2025,"Public Works, Transportation & Commerce",PUC Public Utilities Commsn,163897149955.66,693522.36,92170281.22,320377372.48,52184,10972,2600,2062,7756
2025,General City Responsibilities,GEN General City - Unallocated,151668838452.98,0.0,0.0,0.0,1080,226,0,574,400
2025,Community Health,DPH Public Health,70478687151.44,-1663081.14,5949539.96,223948.4,269584,11026,10300,1888,11326
2025,Human Welfare & Neighborhood Development,USD County Education Office,44510784919.04,0.0,0.0,0.0,200,14,0,200,80
2025,Human Welfare & Neighborhood Development,CCD SF Communtiy College Dist,25543586590.72,0.0,0.0,0.0,150,14,0,150,60
2025,General Administration & Finance,ADM GSA - City Administrator,24373464755.82,358476.46,233667.16,0.0,19130,5552,350,576,3420
2025,"Public Works, Transportation & Commerce",MTA Municipal Transprtn Agncy,13585394808.2,4145193.8600000003,245408531.06,8647335.4,23162,5146,900,488,2180
2025,Public Protection,CRT Superior Court,10072029071.08,0.0,0.0,0.0,4772,1266,0,476,1900
2025,General Administration & Finance,MYR Mayor,5130272956.32,18274.0,1254088.26,0.0,5940,2566,0,420,1220
2025,"Public Works, Transportation & Commerce",DPW Public Works,3854751867.86,601573.24,20964007.72,226044770.86,16372,3960,800,346,2000
2025,Culture & Recreation,WAR War Memorial,3000657607.44,29.2,4296.04,0.0,1416,502,100,106,300
2025,"Public Works, Transportation & Commerce",PRT Port,2569498147.18,1874.24,304636.66,22898267.98,10684,3062,150,176,3060
2025,Public Protection,SHF Sheriff,2526120582.8,0.0,5798.9800000000005,0.0,10514,2330,350,104,3280
2025,Human Welfare & Neighborhood Development,HOM Homelessness Services,2474787578.68,612498.38,520.5,0.0,3422,1450,0,296,140
2025,Culture & Recreation,REC Recreation & Park Commsn,2412961461.72,5222.9400000000005,2395781.16,1935983.96,15840,3898,300,152,2280
2025,General Administration & Finance,HRD Human Resources,2255424910.94,0.0,73892.06,0.0,3750,1058,0,98,1280
2025,Human Welfare & Neighborhood Development,HSA Human Services Agency,1813823352.42,43873.9,2568400.38,0.0,10756,3572,100,222,1802
2025,Public Protection,DEM Emergency Management,1386808122.82,4064.7200000000003,412021.66000000003,0.0,4272,1394,0,66,1120
2025,Human Welfare & Neighborhood Development,CII Commty Invest & Infrstrctr,1121087174.72,0.0,4290.0,0.0,3220,826,50,108,1180
2025,"Public Works, Transportation & Commerce",ECN Economic & Wrkfrce Dvlpmnt,922289933.62,0.0,1339510.0,0.0,6430,2264,0,150,1900
2025,Public Protection,JUV Juvenile Probation,849081948.5200001,2900.42,207769.5,0.0,3174,1164,0,56,480
2025,Culture & Recreation,LIB Public Library,781904720.56,35101.08,5084.4,0.0,5002,2090,100,76,1100
2025,Culture & Recreation,SCI Academy of Sciences,721443712.0,0.0,0.0,0.0,200,14,0,74,80
2025,General Administration & Finance,RET Retirement System,686249183.6800001,0.0,48021.04,0.0,2070,616,100,104,680
2025,Public Protection,POL Police,635558960.02,129608.84,14486.78,0.0,6530,2262,600,104,1540
2025,General Administration & Finance,DT  GSA - Technology,525455687.0,8.0,64561.520000000004,0.0,3938,1230,350,114,640
2025,Human Welfare & Neighborhood Development,DEC Dept of Early Childhood,451996468.4,0.0,19411378.42,0.0,822,386,50,38,120
2025,General Administration & Finance,ETH Ethics Commission,425798661.6,0.0,0.0,0.0,522,178,0,50,160
2025,Public Protection,FIR Fire Department,305749734.64,319.26,2632541.4,0.0,4218,1596,252,56,842
2025,Human Welfare & Neighborhood Development,CHF Children;Youth & Families,295749339.42,1536.86,0.0,0.0,2572,1380,0,34,200
2025,Culture & Recreation,ART Arts Commission,287169634.96000004,2450.0,0.0,0.0,14280,4198,50,16,5100
2025,General Administration & Finance,TTX Treasurer-Tax Collector,283633939.71999997,0.0,850.0,0.0,2068,518,0,54,620
2025,General Administration & Finance,REG Elections,278545070.44,0.0,0.0,0.0,738,370,0,36,160
2025,Culture & Recreation,FAM Fine Arts Museum,266932727.54000002,0.0,0.0,0.0,650,168,0,50,180
2025,Human Welfare & Neighborhood Development,HRC Human Rights Commission,260455551.3,0.0,0.24,0.0,2070,604,0,50,660
2025,General Administration & Finance,CAT City Attorney,251016458.92000002,0.0,0.0,0.0,1996,654,0,40,720
2025,"Public Works, Transportation & Commerce",DBI Building Inspection,212258164.1,0.02,0.0,0.0,856,422,0,38,180
2025,General Administration & Finance,BOS Board of Supervisors,97221666.84,0.0,9680.18,0.0,1054,424,150,20,320
2025,Public Protection,DAT District Attorney,96190945.58,0.0,10468.0,0.0,5454,1322,0,10,1880
2025,Human Welfare & Neighborhood Development,ENV Environment,82638985.4,0.0,185950.08000000002,0.0,2250,750,100,12,680
2025,Public Protection,PDR Public Defender,82110554.2,0.0,0.0,0.0,4094,878,0,12,1560
